GID,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
75,Puerto Rico (U.S.),112829185.595827,113764157.850196,115352053.371524,115774041.71748,115933783.05431,116200188.84357,116506646.021014,116892957.931433,116914773.414596,116587985.611327,116436288.551631,116315435.908548,116126941.372832,115306605.08121,114961535.556283,114920520.41318,114831589.970327,114764148.076004,,
76,United States Virgin Islands (U.S.),2695199.618702,2702389.61587446,2740422.00537753,2752137.5667577,2741589.18953353,2721581.44870466,2729928.79365369,2723297.2037528,2719789.75252219,2688816.84438337,2688242.26262994,2646696.29693502,2645869.775781,2627889.33668338,2625009.51552464,2618913.91620832,2615217.87447176,2608922.45381992,,
77,Aruba (Neth.),651114.286296993,651114.286296993,651114.286296993,651114.286296993,651114.286296993,650622.661474802,650622.661474802,649602.136029452,648015.670731506,642188.271921963,638940.774548864,635712.489399178,625163.559488842,598463.556302838,593007.839575021,593007.839575021,564573.672689289,558284.018501565,,
78,Panama,754376943.092064,839495075.7643,891590363.030415,884176555.219543,892964453.081517,869656184.34352,890612955.6627,894350910.521885,857347854.590517,778103546.856289,802724287.599068,784052536.311316,801052221.840215,793042268.010314,794612664.4222,804510742.214261,819509678.399297,805329760.626448,,
79,El Salvador,201924180.674092,202456911.440006,203366662.381779,204811856.869642,204717754.125718,204629673.937515,204936385.138691,205058530.408214,205402470.369793,205156068.32264,205191436.736666,205121822.06441,204316576.690991,205172105.891702,204294920.198995,205221466.573898,204165413.904472,204541315.169208,,
80,Nicaragua,1488823107.20707,1502123561.62017,1488052934.32117,1493521227.70932,1482934593.86628,1490097720.37028,1486940968.00044,1485156293.80236,1486124543.73668,1478770821.45409,1480656877.45144,1482340380.8121,1479023451.16979,1479559421.15334,1484004010.39905,1478553420.17565,1481696989.42502,1476833008.12904,,
81,Mexico,12697859399.2764,12667406802.0092,12626811845.3336,12686991335.6496,12631192325.7427,12652926163.4582,12653226872.1741,12633242042.7012,12632691495.1375,12421747537.8976,12341682922.3028,12380808912.6485,12373174860.0203,12414745338.4863,12399444063.2209,12393817794.2189,12372767154.0374,12388586036.2419,,
82,Honduras,1357461790.59633,1358185439.63985,1331123329.94286,1362795494.74831,1338444456.41428,1355091984.01719,1355788645.76392,1353398505.74494,1349749153.48405,1350168463.95569,1336129384.6148,1351014336.22545,1342041412.73266,1338251380.07407,1344680203.39753,1334198192.38952,1336361732.86218,1328611934.83752,,
83,Guatemala,1192551044.21807,1186300170.20069,1158936968.71753,1175971476.07871,1160217901.82069,1169107497.90366,1162761070.97642,1165111403.04283,1158008408.3935,1161380527.22613,1161280550.8018,1161213461.28149,1157170776.41664,1162177040.50044,1158340038.40929,1154896426.01089,1155582051.57364,1158690430.87643,,
84,Costa Rica,623707339.900589,630234292.358969,645912866.158901,645862987.918826,646747785.306251,650364390.227773,653977540.52172,655310522.636341,649429828.99688,644936941.137645,653998432.103967,657948063.610108,658011422.194309,664878731.425222,656457691.557714,660583698.027331,667776253.540091,663183859.89782,,
85,Clipperton Island (Fr.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
86,Belize,294826201.882143,294091345.743593,290359488.265985,293976662.636756,291932573.999943,292442613.662073,290897495.274966,290767424.024362,290866300.825711,288534456.804075,284370334.613021,288466215.271338,286545472.650304,288276931.804273,287647243.47073,286934418.964512,286217325.39476,286343499.739282,,
87,United States of America,26925609307.2846,26869197085.1648,26847691107.0523,26856070571.3855,26839860104.8971,26857671000.8818,26812846986.7295,26812632232.9463,26760508663.2319,26697077038.4724,26634397420.4114,26653889768.3343,26583541859.7813,26581349773.183,26558638796.0973,26564728186.2822,26535765408.8175,26426468881.9175,,
88,Saint-Pierre-et-Miquelon (Fr.),302141.57936652,302571.870196584,301467.008828836,300087.231722897,300948.662507273,300945.529126051,300946.8084448,301568.020189945,300919.778895211,294095.333788718,294831.836608729,295606.721221659,295391.569487096,295391.569487096,295391.569487096,292370.902308923,292370.902308923,292963.836448757,,
89,Palmyra Atoll (U.S.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
90,Midway Island (U.S.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
91,Kingman Reef (U.S.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
92,Jarvis Island (U.S.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
93,Johnston Atoll (U.S.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
94,Howland Island (U.S.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
95,Greenland (Den.),84879957.8727642,84879957.8727642,84879957.8727642,84879957.8727642,84879957.8727642,84879957.8727642,84879957.8727642,84879957.8727642,84879957.8727642,76354329.4301371,76804770.4584594,76150246.622237,76890067.308251,76850216.2155255,76870519.224953,76816068.7400183,78822271.4956898,76859992.2593027,,
